expanded_urls,source,text,timestamp,tweet_id,favorite_count,retweet_count
https://twitter.com/dog_rates/status/892420643555336193/photo/1,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,2017-08-01 16:23:56,892420643555336193,36871,7853
https://twitter.com/dog_rates/status/892177421306343426/photo/1,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",2017-08-01 00:17:27,892177421306343426,31735,5824
https://twitter.com/dog_rates/status/891815181378084864/photo/1,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,2017-07-31 00:18:03,891815181378084864,23905,3850
https://twitter.com/dog_rates/status/891689557279858688/photo/1,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,2017-07-30 15:58:51,891689557279858688,40183,8026
https://twitter.com/dog_rates/status/891327558926688256/photo/1,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",2017-07-29 16:00:24,891327558926688256,38378,8674
https://twitter.com/dog_rates/status/891087950875897856/photo/1,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,2017-07-29 00:08:17,891087950875897856,19309,2889
https://gofundme.com/ydvmve-surgery-for-jax,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",2017-07-28 16:27:12,890971913173991426,11254,1905
https://twitter.com/dog_rates/status/890729181411237888/photo/1,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,2017-07-28 00:22:40,890729181411237888,62160,17551
https://twitter.com/dog_rates/status/890609185150312448/photo/1,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,2017-07-27 16:25:51,890609185150312448,26565,3982
https://twitter.com/dog_rates/status/890240255349198849/photo/1,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,2017-07-26 15:59:51,890240255349198849,30405,6825
